id,country,city,currency,start_date,length,perc_complete,ribbon_cutting_time,end_yr,end_month,end_day,stations,cost
278,PL,Jadowniki,PLN,7/25/2011,10663.929,1.85,NULL,2028,1,13,12,81419734
279,AM,Kasakh,AMD,1/8/1985,467.593,94.01,2015-06-05 07:14:08 UTC,2015,4,21,60,42000135
280,RU,Siva,RUB,2/17/2001,6758.342,8.75,NULL,2010,5,2,104,31137127
281,PH,Siay,PHP,9/27/2019,1835.389,34.71,NULL,2028,6,4,57,18005348
282,CZ,Červené Pečky,CZK,8/3/2020,2828.552,15.54,NULL,2013,11,20,19,47537242
283,CN,Chikan,CNY,3/6/2021,671.73,79.09,NULL,2009,8,9,116,57127400
284,PH,Babug,PHP,2/11/1989,6060.367,46.25,NULL,2027,10,1,66,2306177
285,PL,Drawsko Pomorskie,PLN,12/8/1984,8398.046,91.3,2004-05-11 14:49:33 UTC,2004,3,27,116,84188944
286,ID,Lodan Wetan,IDR,6/18/2007,9859.268,8.45,NULL,1998,10,4,12,78675440
287,US,Ogden,USD,7/2/2005,2141.35,49.52,NULL,1994,3,24,31,16385608
288,ID,Kawengan,IDR,6/21/1987,11818.516,0.08,NULL,1998,7,14,115,58607107
289,ID,Maguan,IDR,12/10/1982,9754.983,87.29,1999-04-07 13:25:21 UTC,1999,2,21,93,18021934
290,AF,‘Alāqahdārī Gēlān,AFN,10/22/2016,710.146,37.47,NULL,2024,5,7,66,87857382
291,ID,Bojong,IDR,9/5/1983,4343.95,30.18,NULL,2021,3,11,23,12794481
292,CN,Xujiaqiao,CNY,8/17/1987,2825.754,0.83,NULL,1985,10,5,43,88720690
293,SI,Hrastnik,EUR,10/28/2001,7863.206,1.13,NULL,2007,12,31,108,64362857
294,BR,Imbituva,BRL,11/18/1991,7390.189,11.84,NULL,2006,7,18,27,69568814
295,ID,Karang,IDR,6/11/2024,4671.523,8.05,NULL,2002,12,7,31,83713317
296,RU,Vykhino-Zhulebino,RUB,7/14/2012,10265.45,63.55,NULL,2009,6,12,62,24537691
297,ID,Bangekdewa,IDR,9/26/1993,9776.679,85.13,2021-06-20 22:32:13 UTC,2021,5,6,80,53239821
298,PL,Kowala,PLN,6/24/1985,8794.828,43.18,NULL,1995,1,19,118,24403436
299,ID,Mulyosari,IDR,10/17/1988,7961.386,98.15,2014-10-13 18:32:01 UTC,2014,8,29,95,89310957
300,PL,Kaczory,PLN,10/19/1990,10660.498,40.97,NULL,2022,11,5,21,22398957
301,AR,Villa Las Rosas,ARS,9/13/2014,1304.128,38.44,NULL,2029,5,11,42,2249958
302,AR,Santa Fe de la Vera Cruz,ARS,12/5/2019,2998.084,67.14,NULL,2018,7,12,98,84139240
303,MW,Blantyre,MWK,6/27/2005,7665.564,89.52,2021-04-01 16:29:27 UTC,2021,2,15,18,21403687
304,FR,Villeneuve-d'Ascq,EUR,9/21/2006,4563.142,52.45,NULL,1985,2,28,112,27556290
305,CA,Notre-Dame-de-l'Île-Perrot,CAD,2/19/2017,12117.034,55.88,NULL,2008,9,1,106,8678014
306,RU,Vostochnyy,RUB,5/28/2002,2356.449,76.42,NULL,2013,10,3,117,58253069
307,RU,Voronezh,RUB,8/18/2007,112.879,12.29,NULL,1992,7,8,59,81780943
308,ID,Cimanggu,IDR,1/10/1986,6998.186,9.58,NULL,2005,8,10,98,86333538
309,ID,Rancabuaya,IDR,4/28/1986,5353.385,2.07,NULL,2014,12,21,36,23930341
310,FR,Nuits-Saint-Georges,EUR,6/26/1995,8035.472,93.52,2019-02-03 17:34:56 UTC,2018,12,20,101,18916498
311,ID,Karangpawitan,IDR,12/4/1990,8561.878,98.04,2012-02-13 16:41:30 UTC,2011,12,30,107,15446409
312,PA,Las Tablas,PAB,1/1/1999,9609.611,40.44,NULL,2026,4,29,64,12310947
313,ID,Pasirhuni,IDR,12/6/2003,6383.537,74.74,NULL,2021,4,23,117,24641236
314,IL,Rosh Ha‘Ayin,ILS,1/1/2006,7029.179,60.69,NULL,1988,10,1,101,28394297
315,SE,Sunne,SEK,6/15/1992,7773.042,13.24,NULL,2007,12,29,81,28827088
316,CY,Kato Pyrgos,EUR,12/16/2011,243.081,5.07,NULL,1992,7,15,95,59339862
317,CN,Wumahe,CNY,12/20/1995,227.978,55.14,NULL,1998,4,2,70,39347321
318,CA,Grand Bank,CAD,3/2/1999,7709.621,90.98,1995-10-14 20:16:56 UTC,1995,8,30,84,38898343
319,ID,Wonosari,IDR,8/12/1984,1406.524,61.73,NULL,1994,8,16,92,73488837
320,FI,Yläne,EUR,8/21/1986,2908.051,54.11,NULL,2017,7,15,84,78005392
321,VN,Nam Sách,VND,9/12/2025,1053.341,35.52,NULL,2021,6,29,110,80302509
322,ID,Kembangan,IDR,5/7/2009,9486.116,76.6,NULL,2023,5,16,112,27890376
323,CN,Changtan,CNY,1/28/2011,116.226,37.02,NULL,1985,4,20,21,24569258
324,CN,Gongchang Zhen,CNY,7/7/2013,8969.063,53.6,NULL,1985,12,3,59,77858724
325,MX,Bellavista,MXN,3/13/1988,2026.873,63.47,NULL,2005,6,15,89,75170084
326,PT,Eirado,EUR,3/12/2024,7545.477,86.04,1988-10-04 06:32:39 UTC,1988,8,20,47,56655209
327,PL,Nowy Dwór Mazowiecki,PLN,9/6/1987,10482.162,77.16,NULL,2007,2,12,13,1764443
328,CN,Dao’er,CNY,2/14/2025,10875.144,0.89,NULL,2017,9,26,4,1235988
329,PH,Concordia,PHP,2/1/1997,2479.935,74.86,NULL,2011,8,3,10,75354734
330,FI,Lapinjärvi,EUR,4/21/2007,6088.162,73.09,NULL,1989,12,22,45,56787419
331,US,Portland,USD,7/25/2017,10198.4,76.76,NULL,1986,6,6,98,49485765
332,PA,Los Algarrobos,PAB,1/29/2024,1498.874,44.66,NULL,1992,12,28,44,55316245
333,CN,Shouchun,CNY,5/14/2012,3262.521,50.98,NULL,2004,11,8,67,598763
334,MX,Santa Anita,MXN,1/13/2024,3006.033,38.55,NULL,2014,3,14,119,28976002
335,PT,Couço,EUR,8/30/1991,5119.006,25.14,NULL,2016,5,10,61,33463553
336,PH,Ilangay,PHP,1/21/2004,4466.014,87.83,2004-12-16 00:33:57 UTC,2004,11,1,59,29676441
337,CN,Miaogou,CNY,7/24/2007,10931.806,12.36,NULL,2018,9,15,24,60788311
338,SE,Kumla,SEK,10/25/1994,862.888,32.97,NULL,2019,2,4,70,30190765
339,CN,Zhuangbu,CNY,9/19/2024,6595.715,34.13,NULL,2025,9,11,7,38058704
340,PS,Ḩuwwārah,ILS,1/18/2006,2683.355,26.76,NULL,2000,4,7,102,27771818
341,CN,Shaxi,CNY,10/20/2002,9130.815,52.62,NULL,2014,10,22,105,57385002
342,BR,Cotia,BRL,12/7/2024,3191.901,62.02,NULL,2010,8,11,103,45968330
343,ID,Meringkik,IDR,2/17/1983,9691.383,83.54,NULL,1984,12,11,119,50057306
344,BR,Colinas,BRL,12/27/2024,10452.619,87.35,2008-01-18 13:09:28 UTC,2007,12,4,110,24641833
345,UY,Joaquín Suárez,UYU,7/20/2013,11447.652,1.48,NULL,1988,10,10,108,53595030
346,ID,Padangguci,IDR,11/20/1988,10138.111,83.89,NULL,1988,2,3,24,29300735
347,ES,Santander,EUR,6/11/1993,11950.983,71.46,NULL,2022,7,25,48,21407651
348,FR,Mantes-la-Jolie,EUR,10/4/1986,4024.265,11.82,NULL,1998,2,25,60,64951330
349,CZ,Příbor,CZK,4/8/1992,4913.407,20.74,NULL,2018,1,2,120,76776698
350,CZ,Křižanov,CZK,1/27/1993,2656.72,56.45,NULL,2000,3,6,23,34079016
351,PH,Maayong Tubig,PHP,7/12/1999,11379.562,96.54,2024-02-10 02:25:23 UTC,2023,12,27,77,10453625
352,SE,Åmål,SEK,10/23/2000,894.49,16.77,NULL,2013,8,20,80,68202730
353,UA,Bezlyudivka,UAH,4/22/2022,3760.396,76.51,NULL,1991,1,27,87,48251098
354,LU,Mertert,EUR,11/8/1991,2470.071,17.19,NULL,2019,3,8,36,72835805
355,FR,Auch,EUR,1/27/2001,10679.171,67.44,NULL,2007,5,31,103,82930413
356,ID,Darungan,IDR,4/19/2020,33.29,77.44,NULL,2011,3,22,42,24286355
357,IR,Eqlīd,IRR,9/28/1995,2618.387,55,NULL,2024,11,3,93,16522427
358,PH,Buayan,PHP,2/9/2014,9923.107,74.4,NULL,2004,9,25,100,86210886
359,CD,Libenge,CDF,4/23/2012,10709.82,82.4,NULL,1995,7,31,83,37587298
360,PK,Jhumra,PKR,3/22/1987,9494.254,6.24,NULL,1985,11,10,44,35818664
361,ID,Tanahedang,IDR,1/25/1993,3820.449,1.6,NULL,1987,2,27,27,56621578
362,PL,Goworowo,PLN,7/6/1991,10903.166,35.86,NULL,2014,12,6,66,71821129
363,PH,Tamiso,PHP,11/17/2009,4161.671,86.84,2001-02-22 18:50:57 UTC,2001,1,8,86,45202216
364,LY,Tobruk,LYD,9/21/2016,7697.399,45.47,NULL,2014,3,23,39,21982150
365,ID,Talon,IDR,2/16/2010,5294.833,76.77,NULL,2023,2,27,31,68455239
366,CO,Belén de Umbría,COP,7/25/1983,4298.015,23.7,NULL,2009,12,12,35,40714698
367,ID,Cumedak,IDR,11/24/2018,1107.546,33.01,NULL,2012,8,11,120,5110884
368,CN,Pingshan,CNY,4/29/2019,7490.659,1.85,NULL,2014,10,13,73,16540820
369,CN,Shuiyang,CNY,11/19/2010,7190.641,13.95,NULL,1984,7,12,64,78762391
370,CN,Heku,CNY,1/18/2009,9902.704,84.27,NULL,1999,5,24,104,29485079
371,KE,Keruguya,KES,7/7/1984,6061.653,59.15,NULL,2012,1,7,80,57469715
372,US,Jacksonville,USD,12/23/2008,2865.332,74.46,NULL,2008,10,19,95,8402683
373,PH,Bailan,PHP,1/18/2024,7274.553,56.11,NULL,1994,8,11,7,13464077
374,CO,Leticia,COP,3/28/2007,8046.86,1.18,NULL,2002,11,23,28,45920208
375,NI,Nandaime,NIO,11/14/1997,9840.662,27.72,NULL,2019,10,19,86,69643282
376,CN,Qijing,CNY,9/1/1985,5869.094,28.73,NULL,1984,7,26,70,80555785
377,CN,Baishigou,CNY,7/3/1982,10754.12,96.26,2018-01-21 14:19:55 UTC,2017,12,7,39,60431417
378,PH,Dapdap,PHP,6/18/2013,5472.765,97.26,1994-10-02 17:45:01 UTC,1994,8,18,112,55883600
379,HN,Camalote,HNL,3/23/1996,10566.337,89.23,2012-05-27 12:20:11 UTC,2012,4,12,60,10663669
380,BR,Paraty,BRL,3/16/2004,8073.236,38.94,NULL,2024,1,2,16,33478460
381,IR,Shiraz,IRR,5/28/2015,8207.221,45.42,NULL,1984,12,5,115,81827024
382,BW,Sebina,BWP,11/11/1993,4065.664,45.14,NULL,2024,1,1,8,52134259
383,JP,Nanao,JPY,12/16/1984,2747.368,28.7,NULL,1990,3,19,18,30787231
384,CU,Bartolomé Masó,CUP,11/29/1991,6026.444,58.96,NULL,1984,5,28,66,36393019
385,AL,Bicaj,ALL,12/9/1996,10597.533,95.55,2001-12-05 18:15:53 UTC,2001,10,21,70,30567599
386,PL,Celestynów,PLN,5/4/1999,11676.304,57.54,NULL,2016,1,15,88,20874387
387,CN,Songjiang,CNY,5/19/1991,7030.402,45.37,NULL,1984,5,16,56,81799790
388,PS,Khān Yūnis,ILS,11/2/1994,792.265,12.2,NULL,2004,6,9,92,74155855
389,GB,Sheffield,GBP,9/20/2005,8878.766,40.78,NULL,2026,8,25,90,10953705
390,SE,Färjestaden,SEK,4/2/1998,6865.521,15.84,NULL,1988,7,6,7,84613776
391,TJ,Dushanbe,TJS,4/9/2016,3495.149,71.58,NULL,2005,4,29,52,77951468
392,CN,Shuhong,CNY,10/2/2017,8665.145,45.76,NULL,1990,4,13,115,56204560
393,ID,Kampungtengah,IDR,8/22/1991,4473.979,5.72,NULL,2018,10,18,7,79830579
394,CN,Guanba,CNY,6/1/2024,7228.922,68.98,NULL,1994,8,18,25,1143398
395,PL,Polańczyk,PLN,6/1/2018,4713.789,55.13,NULL,2011,1,7,37,52786458
396,NO,Oslo,NOK,7/3/2012,9102.51,32.98,NULL,2027,9,6,5,61047398
397,LU,Reckange-sur-Mess,EUR,1/13/1992,10380.962,33.89,NULL,2006,8,19,53,3487537
398,ID,Waiwukak,IDR,8/22/1983,8491.599,17.82,NULL,2005,1,31,50,16581983
399,CN,Shigutang,CNY,9/6/2002,5974.17,93.08,1992-09-24 00:47:48 UTC,1992,8,10,25,77352945
400,MD,Basarabeasca,MDL,4/7/2000,3872.571,26.52,NULL,2027,7,1,38,50018594
401,JP,Hachiōji,JPY,4/16/2025,2013.211,25.87,NULL,2013,9,12,38,5425453
402,CN,Rongxiang,CNY,5/17/1996,4585.271,20.47,NULL,2006,6,16,30,80149570
403,VE,San Juan Bautista,VEF,5/11/1991,1789.861,55.59,NULL,2013,1,17,79,74887250
404,ES,Sevilla,EUR,12/12/2018,5798.495,68.17,NULL,2027,12,1,48,87201149
405,CN,Shataping,CNY,6/14/1985,2974.287,58.73,NULL,2001,9,8,58,29737968
406,TJ,Boshchorbogh,TJS,12/29/1994,3822.913,61.68,NULL,2029,5,30,50,57636569
407,RU,Nikolayevka,RUB,4/17/1993,10499.551,70.38,NULL,2006,8,7,59,2641890
408,MX,Lazaro Cardenas,MXN,1/21/2021,10088.928,40.31,NULL,1990,4,17,23,58611591
409,CY,Dhali,EUR,2/24/2022,9293.547,78.59,NULL,2028,3,4,64,5360017
410,ID,Dukuhturi,IDR,3/29/2021,12169.321,43.76,NULL,2006,2,11,107,14554641
411,CA,Princeville,CAD,3/30/2013,278.446,4.54,NULL,1992,8,5,72,34895889
412,FI,Joroinen,EUR,2/6/2003,6815.572,33.53,NULL,1997,3,15,66,76500815
413,ID,Wolomarang,IDR,11/1/1993,9973.122,79.46,NULL,2025,10,18,114,77088880
414,ID,Sawahbaru,IDR,9/23/2001,11762.713,36.92,NULL,2025,2,25,26,89434379
415,MM,Nyaungdon,MMK,8/13/1992,2625.112,4.94,NULL,2029,7,26,93,56784188
416,CZ,Velké Svatoňovice,CZK,1/30/1989,8278.74,60.83,NULL,2003,11,30,75,19658679
417,DE,Berlin,EUR,5/24/1990,6046.762,77.24,NULL,2017,12,15,111,76031041
418,CN,Xinwan,CNY,10/24/1992,9105.491,70.3,NULL,2018,5,19,42,36225571
419,CN,Tangdukou,CNY,7/1/2021,11055.98,39.68,NULL,1993,3,26,86,45912011
420,FR,Sannois,EUR,3/5/2025,10797.013,61.47,NULL,2004,6,4,10,40506532
421,ID,Romba,IDR,10/28/1993,10697.319,6.64,NULL,2024,12,6,22,40780515
422,IE,Prosperous,EUR,12/5/1990,10920.276,37.73,NULL,1990,1,3,11,10063278
423,BR,Sabinópolis,BRL,4/8/2021,2578.85,95.99,1989-07-15 22:24:35 UTC,1989,5,31,31,75114003
424,SY,As Sawdā,SYP,10/28/2007,10461.751,92.05,2026-06-21 07:58:36 UTC,2026,5,7,46,28814626
425,PL,Głuchołazy,PLN,5/24/2000,3276.354,60.47,NULL,2022,10,15,34,4977328
426,ID,Kadubera,IDR,7/9/2020,9391.843,31.32,NULL,2004,7,28,18,49699991
427,US,Charleston,USD,1/17/1994,5679.115,53.49,NULL,1989,11,24,8,20323914
428,GR,Kavásilas,EUR,2/23/1986,637.66,89.62,2013-09-10 09:26:52 UTC,2013,7,27,64,24053052
429,PH,Tamiso,PHP,1/28/1998,8983.34,70.73,NULL,2006,9,23,6,84124349
430,PK,Jand,PKR,5/26/2003,736.278,48.75,NULL,2005,10,17,63,12583120
431,ID,Labuhanjambu,IDR,6/1/2007,11309.16,59.79,NULL,2020,11,14,73,19870668
432,CN,Baiguan,CNY,12/1/2011,11377.181,26.17,NULL,2019,12,19,68,11465496
433,LV,Stalbe,EUR,10/5/1989,7029.134,97.8,2019-06-13 01:52:37 UTC,2019,4,29,90,16407903
434,LU,Clervaux,EUR,8/25/1995,8013.118,10.58,NULL,2011,7,19,11,46202866
435,SE,Göteborg,SEK,3/2/2004,9767.055,56.72,NULL,1985,9,13,87,26014207
436,PH,Padang,PHP,2/19/1991,7398.56,81.4,NULL,1994,10,6,8,48561123
437,CN,Cikou,CNY,10/16/2011,9408.553,75.68,NULL,2019,2,1,108,8589702
438,RU,Amurzet,RUB,1/13/2024,5231.037,34.86,NULL,2008,1,24,16,76633438
439,BR,São Sebastião,BRL,1/21/2021,8059.207,89.85,2025-04-09 15:43:31 UTC,2025,2,23,67,67497078
440,TN,Beni Khiar,TND,1/1/2010,3413.306,81.04,NULL,2018,7,17,98,58637865
441,ID,Kahabe,IDR,5/18/2022,9530.381,71.95,NULL,2008,12,23,47,81467039
442,RS,Golubinci,RSD,8/30/1989,2640.018,88.34,2027-11-30 04:15:07 UTC,2027,10,16,22,67344929
443,CN,Rongxi,CNY,4/20/2006,4206.257,86.2,1989-02-09 07:24:58 UTC,1988,12,26,109,69236855
444,NO,Oslo,NOK,5/25/2024,3097.805,13.05,NULL,2000,5,3,84,1198867
445,AR,Concordia,ARS,12/1/2023,8578.493,11.98,NULL,1998,3,17,17,59222611
446,HR,Gračac,HRK,4/24/2021,10579.248,29.24,NULL,1997,8,24,97,69059864
447,CN,Wa’eryi,CNY,7/20/2008,12105.984,4.25,NULL,2022,2,4,90,8268219
448,PL,Nowa Góra,PLN,5/25/2019,10766.28,88.29,2010-01-31 08:01:25 UTC,2009,12,17,29,60249515
449,CN,Lukou,CNY,5/14/2014,7850.248,22.63,NULL,1997,7,20,25,41699077
450,CN,Sishilichengzi,CNY,5/9/1993,9148.382,49.95,NULL,2020,11,23,43,79415907
451,BO,Santa Rosa del Sara,BOB,8/7/2025,7399.222,4.47,NULL,1984,12,9,20,32092808
452,UZ,Khiwa,UZS,6/7/2015,6380.907,12.05,NULL,2006,12,12,32,62727761
453,CN,Yinxi,CNY,9/19/2025,8499.053,81.86,NULL,2021,2,10,58,13941277
454,CN,Yaozhou,CNY,5/6/2020,2852.113,6.56,NULL,2022,6,30,103,75710404
455,RS,Vršac,RSD,3/29/2020,11470.094,97.97,2014-06-14 19:48:31 UTC,2014,4,30,48,19842214
456,AF,Kunduz,AFN,8/3/2015,5022.586,34.9,NULL,2008,5,30,46,2589703
457,US,Albuquerque,USD,6/15/1992,10569.335,26,NULL,2028,11,28,41,38933583
458,RU,Korkino,RUB,10/17/1982,9591.237,55.51,NULL,2019,10,24,85,43227155
459,MY,Kuala Lumpur,MYR,8/30/1992,1593.427,50.3,NULL,1997,12,27,52,5966603
460,IR,Zehak,IRR,11/3/1995,9404.845,81.1,NULL,2013,11,30,117,20357284
461,ID,Cibingbin,IDR,8/11/1998,10428.76,46.94,NULL,2009,12,12,70,57479815
462,CN,Huanghai,CNY,1/26/2016,4319.682,58.53,NULL,2028,2,5,100,798755
463,BR,Vargem Grande Paulista,BRL,9/6/1993,3666.874,23.77,NULL,2018,5,17,28,53223442
464,TD,Dourbali,XAF,4/9/2021,10853.752,41.12,NULL,2001,3,4,15,75826200
465,CN,Yongfeng,CNY,5/6/1996,5592.201,13.65,NULL,2024,4,6,69,71067427
466,PT,Fornos,EUR,4/14/2010,5850.081,83.97,NULL,2026,6,9,27,35351842
467,XK,Nishor,EUR,3/29/2021,4043.594,13.84,NULL,2008,8,12,77,32750965
468,CN,Dadukou,CNY,7/23/2007,6953.506,35.94,NULL,2007,5,14,115,41988601
469,UA,Novopskov,UAH,4/1/1996,9659.193,50.52,NULL,2026,2,19,83,46679762
470,ID,Mojomulyokrajan,IDR,7/30/1988,6393.786,86.04,1985-06-08 16:53:06 UTC,1985,4,24,17,67037874
471,CN,Maqian,CNY,3/31/2020,8670.52,6.01,NULL,2017,3,14,101,13856035
472,IR,Isfahan,IRR,3/5/2004,4917.867,86.6,1989-11-16 14:18:00 UTC,1989,10,2,40,31506234
473,BR,Biguaçu,BRL,8/7/1989,11538.1,56.56,NULL,1987,8,16,72,53286144
474,ID,Pasirlaja,IDR,12/14/1984,5011.885,92.54,1994-03-13 12:35:06 UTC,1994,1,27,9,23524799
475,ID,Krajan Srigonco,IDR,1/18/1992,2665.403,83.17,NULL,2019,10,26,67,85316727
476,PH,Taclobo,PHP,4/6/2000,10258.73,68.69,NULL,2002,2,3,10,17279140
477,CN,Nirji,CNY,10/15/2001,9201.724,85.57,1984-08-01 10:51:36 UTC,1984,6,17,109,55546154
478,PL,Rędziny,PLN,5/3/1987,50.736,18.21,NULL,1990,9,6,101,4726497
479,RU,Bograd,RUB,5/15/1996,8653.827,48,NULL,2014,5,24,119,30686961
480,CA,Wingham,CAD,1/27/2017,9915.186,63.32,NULL,1995,3,27,88,81525876
481,CN,Yueyahe,CNY,6/24/1982,1304.8,72.13,NULL,2024,4,2,32,37189478
482,RU,Rayevskiy,RUB,6/4/2021,2663.725,62.34,NULL,1990,10,24,57,2076359
483,AF,Āsmār,AFN,10/25/1997,9534.849,16.53,NULL,1993,12,25,85,62743371
484,KE,Butere,KES,1/25/1999,6578.717,91.14,1995-09-20 17:15:36 UTC,1995,8,6,39,88101135
485,FR,Juvisy-sur-Orge,EUR,6/18/2012,1652.334,39.76,NULL,2013,10,19,7,39675477
486,PL,Michałowo,PLN,10/31/2016,62.366,48.79,NULL,2023,6,29,41,29839776
487,FR,Paris 10,EUR,9/29/2011,10640.391,90.11,1987-03-08 10:52:27 UTC,1987,1,22,31,68600274
488,BR,São Miguel do Iguaçu,BRL,10/26/1997,7792.279,99.62,1987-09-25 23:34:48 UTC,1987,8,11,86,25187187
489,ID,Cikadu,IDR,1/23/2006,7538.238,18.27,NULL,2028,10,19,28,54394551
490,CN,Bangshipu,CNY,5/12/1990,9390,43.31,NULL,2029,12,14,71,10038810
491,UY,Paso de Carrasco,UYU,4/25/2011,3714.22,22.38,NULL,2016,7,2,36,17325308
492,ID,Cijoho,IDR,2/19/2015,8576.731,86.86,1990-10-20 23:38:26 UTC,1990,9,5,118,72626549
493,AR,Gobernador Gálvez,ARS,12/3/2007,9885.373,15.56,NULL,1986,11,15,100,14976536
494,ID,Gudang,IDR,7/24/2008,1364.135,68.26,NULL,2006,2,28,22,86672477
495,ID,Pasiripis,IDR,3/23/2006,9847.735,19.46,NULL,1987,8,30,66,82318489
496,RU,Volosovo,RUB,4/23/1997,6561.479,64.12,NULL,2010,9,4,59,18536129
497,JP,Hiratsuka,JPY,7/13/1987,7404.279,45.77,NULL,2011,11,24,101,53041691
498,ID,Timahankrajan,IDR,10/24/1982,3497.596,89.63,1996-02-02 10:38:58 UTC,1995,12,19,120,86037615
499,CN,Huifeng,CNY,9/22/2011,11000.758,11.93,NULL,2015,9,16,70,13944530
500,ID,Banjarjo,IDR,12/7/2018,2934.78,92.06,1996-02-06 11:36:56 UTC,1995,12,23,55,50838117
501,BF,Garango,XOF,9/10/1983,2635.458,31.79,NULL,2000,2,5,12,81802225
502,CN,Xiapu,CNY,1/23/2017,415.4,57.67,NULL,1989,8,18,105,38634174
503,BR,Arauá,BRL,2/24/1997,8656.421,51.83,NULL,1998,11,3,38,8578134
504,ID,Suwaluh,IDR,3/20/2000,7275.705,83.74,NULL,1994,4,30,38,26099815
505,MK,Lisičani,MKD,12/20/1992,11862.131,24.51,NULL,1991,8,3,80,17534918
506,ID,Simpang,IDR,5/2/1988,7336.712,87.68,2002-12-18 17:27:45 UTC,2002,11,3,25,32485231
507,CN,Jiesheng,CNY,11/13/2018,5232.903,29.67,NULL,2004,9,24,119,49748455
508,ID,Urungpigang,IDR,7/25/2022,480.348,91.45,1986-07-04 13:57:23 UTC,1986,5,20,41,84116139
509,RU,Kosaya Gora,RUB,12/15/2015,8429.435,79.73,NULL,1993,3,17,104,67109883
510,PT,Arrabal,EUR,2/8/2015,2575.721,72.73,NULL,1999,7,19,76,4364313
511,CN,Huangnaihai,CNY,12/5/1984,4156.6,33.07,NULL,2015,4,12,6,72541193
512,PW,Kloulklubed,USD,5/18/2024,1214.245,63.56,NULL,2018,6,1,10,19317235
513,KP,Chongjin,KPW,1/17/2022,10333.784,26.21,NULL,1990,5,28,28,80601840
514,PH,Catarman,PHP,1/16/2024,6324.426,21.31,NULL,2027,10,12,33,8278258
515,PL,Sępólno Krajeńskie,PLN,1/10/2002,2436.894,90.02,2020-04-02 00:03:42 UTC,2020,2,17,49,21530602
516,AR,Ushuaia,ARS,12/20/1988,4760.223,76.82,NULL,1992,6,21,109,87547435
517,TD,Koumra,XAF,10/23/2023,1222.739,68.02,NULL,2024,10,3,42,87843602
518,US,Torrance,USD,12/27/2007,7097.956,48.54,NULL,1990,11,15,23,30236076
519,RU,Gastello,RUB,10/12/2016,11869.239,82.97,NULL,1984,3,17,69,25775431
520,PE,Cusco,PEN,11/8/2019,7548.236,30.76,NULL,2026,4,7,75,57447789
521,UA,Inkerman,UAH,1/19/2000,914.443,28.91,NULL,1984,5,30,15,37912184
522,RU,Borzoy,RUB,12/22/1991,8695.985,39.53,NULL,1985,1,14,2,11199404
523,FR,Carcassonne,EUR,1/3/1984,2149.267,92.55,1995-05-14 00:12:36 UTC,1995,3,30,48,61387623
524,ZA,Margate,ZAR,2/21/2014,3289.771,83.46,NULL,1995,1,2,24,11020329
525,PL,Kluczbork,PLN,5/6/1991,10659.081,3.04,NULL,2001,8,26,87,30879785
526,PT,Pinhal General,EUR,12/12/2016,11737.158,50.71,NULL,2004,10,25,97,36666836
527,BD,Nowlamary,BDT,1/24/1984,865.57,67.76,NULL,2005,2,25,20,65898811
528,CN,Liulang,CNY,9/14/1995,9073.822,94.05,1999-10-31 15:30:34 UTC,1999,9,16,90,69025458
529,KP,Chŏngju,KPW,6/25/1992,4906.945,68,NULL,2019,11,29,54,23112267
530,PT,Maceda,EUR,7/28/1988,4682.68,12.14,NULL,2016,4,21,38,55378288
531,KY,East End,KYD,2/15/2009,10382.105,30.49,NULL,2021,1,14,119,56564420
532,PH,Calinaoan Malasin,PHP,12/15/2004,6637.754,9.07,NULL,2016,10,26,87,30090289
533,CL,Osorno,CLP,4/13/1989,3435.39,20.36,NULL,1985,8,10,112,50174059
534,PS,Kafr Thulth,ILS,1/8/1984,3837.705,58.22,NULL,1984,9,27,14,40163150
535,FR,Saint-Priest-en-Jarez,EUR,3/15/1992,10899.96,34.64,NULL,1991,12,21,48,13005964
536,PY,Concepción,PYG,7/31/1989,8432.954,43.31,NULL,1984,12,5,57,40989295
537,BR,Bom Jesus da Lapa,BRL,5/14/2000,9644.912,38.39,NULL,1996,2,9,71,1456691
538,AR,Campo Viera,ARS,11/5/1999,2847.969,36.32,NULL,2019,8,4,74,52552102
539,IE,Gweedore,EUR,5/25/2006,11262.452,62.5,NULL,1991,6,1,103,84826775
540,ID,Mekarsari,IDR,9/29/2000,640.561,73.01,NULL,2016,2,3,58,20356329
541,RU,Kama,RUB,8/17/2006,7333.016,93.52,1984-06-28 12:23:30 UTC,1984,5,14,60,27148942
542,CN,Nangong,CNY,7/26/2006,8612.967,10.93,NULL,1986,4,4,68,21006953
543,RU,Nevinnomyssk,RUB,3/25/1992,2244.162,97.79,1993-06-10 09:20:07 UTC,1993,4,26,41,45368760
544,CZ,Lípa,CZK,4/23/2017,9795.055,88.71,2016-10-05 17:47:46 UTC,2016,8,21,72,6959648
545,CN,Heshui,CNY,2/20/1994,5899.557,32.83,NULL,2023,1,6,92,80799944
546,VN,Cà Mau,VND,9/25/2012,1287.039,35.97,NULL,1995,4,6,22,40799026
547,FR,Paris 02,EUR,1/16/2024,3312.495,15.64,NULL,1998,3,16,118,22588888
548,ID,Seoam,IDR,2/17/2025,6880.837,85.38,2014-06-28 01:48:21 UTC,2014,5,14,34,85444268
549,FR,Clermont-Ferrand,EUR,1/24/2015,4893.072,19.3,NULL,2026,6,1,114,6088317
550,CN,Banjing,CNY,8/17/1987,4351.533,91.75,2018-06-16 04:07:58 UTC,2018,5,2,25,86976343
